Date and Time,input_2,input_1,in_1_calculated
2020-04-13 07:24:32+02:00,8.184,4.12,
2020-04-13 07:27:32+02:00,11.144,8.12,
2020-04-13 07:30:33+02:00,10.865,4.52,
2020-04-13 07:33:33+02:00,9.423,4.12,
2020-04-13 07:36:33+02:00,11.174,5.12,
2020-04-13 07:39:33+02:00,9.754,7.72,
2020-04-13 07:42:33+02:00,8.339,8.52,
2020-04-13 07:45:34+02:00,9.471,7.72,
2020-04-13 07:48:34+02:00,10.142,7.12,
2020-04-13 07:51:34+02:00,11.095,7.32,
2020-04-13 07:54:34+02:00,8.642,9.32,
2020-04-13 07:57:34+02:00,9.343,11.12,
2020-04-13 08:00:35+02:00,8.541,10.12,
2020-04-13 08:03:35+02:00,8.829,10.12,
2020-04-13 08:06:35+02:00,10.609,12.12,
2020-04-13 08:09:35+02:00,10.899,10.92,
2020-04-13 08:12:35+02:00,8.658,13.92,
2020-04-13 08:15:36+02:00,8.044,11.92,
2020-04-13 08:18:36+02:00,8.975,11.72,
2020-04-13 08:21:36+02:00,9.891,11.72,
2020-04-13 08:24:36+02:00,8.128,9.72,
2020-04-13 08:27:36+02:00,8.243,10.52,
2020-04-13 08:30:37+02:00,9.424,6.92,
2020-04-13 08:33:37+02:00,8.161,6.52,
2020-04-13 08:36:37+02:00,11.294,6.32,
2020-04-13 08:39:37+02:00,9.73,6.12,
2020-04-13 08:42:38+02:00,11.689,6.72,
2020-04-13 08:45:38+02:00,9.294,8.32,
2020-04-13 08:48:38+02:00,10.042,8.12,
2020-04-13 08:51:38+02:00,11.627,9.12,
2020-04-13 08:54:38+02:00,11.663,8.72,
2020-04-13 08:57:39+02:00,8.711,9.52,
2020-04-13 09:00:39+02:00,9.526,9.52,
2020-04-13 09:03:39+02:00,11.026,8.92,
2020-04-13 09:06:40+02:00,10.623,10.02,
2020-04-13 09:09:40+02:00,9.392,11.02,
2020-04-13 09:12:41+02:00,8.46,9.62,
2020-04-13 09:15:41+02:00,9.422,9.02,
2020-04-13 09:18:41+02:00,11.753,10.22,
2020-04-13 09:21:41+02:00,8.782,11.82,
2020-04-13 09:24:41+02:00,11.526,11.82,
2020-04-13 09:27:42+02:00,11.962,10.62,
2020-04-13 09:30:42+02:00,9.964,8.22,
2020-04-13 09:33:42+02:00,10.103,8.82,
2020-04-13 09:36:42+02:00,11.621,10.02,
2020-04-13 09:39:42+02:00,11.834,9.42,
2020-04-13 09:42:43+02:00,10.604,9.62,
2020-04-13 09:45:43+02:00,10.222,10.02,
2020-04-13 09:48:43+02:00,11.876,11.22,
2020-04-13 09:51:43+02:00,10.305,12.42,
2020-04-13 09:54:44+02:00,10.092,11.62,
2020-04-13 09:57:44+02:00,11.048,11.22,
2020-04-13 10:00:44+02:00,9.389,11.02,
2020-04-13 10:03:44+02:00,9.667,13.02,
2020-04-13 10:06:44+02:00,11.865,12.22,
2020-04-13 10:16:29+02:00,10.536,6.373,
2020-04-13 10:37:22+02:00,10.469,,
2020-04-13 10:40:23+02:00,10.422,,
2020-04-13 10:43:23+02:00,9.76,,
2020-04-13 10:46:23+02:00,9.853,,
2020-04-13 10:49:23+02:00,11.828,,
2020-04-13 10:52:24+02:00,11.028,,
